@timestamp,event.dataset,event.action,host,user,source.ip,destination.ip,raw,json
2024-11-05T09:00:00Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:00:00Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:00:55Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:00:55Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:01:50Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:01:50Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:02:45Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:02:45Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:03:40Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:03:40Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:04:35Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:04:35Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:05:30Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:05:30Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:06:25Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:06:25Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:07:20Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:07:20Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:08:15Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:08:15Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:09:10Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:09:10Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
2024-11-05T09:10:05Z,network,flow,WKSTN-044,mturner,10.10.8.21,185.193.17.91,TLS beacon,"{""@timestamp"": ""2024-11-05T09:10:05Z"", ""event"": {""dataset"": ""network"", ""action"": ""flow"", ""original"": ""TLS beacon""}, ""host"": {""name"": ""WKSTN-044""}, ""user"": {""name"": ""mturner""}, ""source"": {""ip"": ""10.10.8.21""}, ""destination"": {""ip"": ""185.193.17.91"", ""port"": 443}}"
